company,position,description,location,formatted_work_type,url,formatted_experience_level,requirement
Janie and Jack,Assistant Store Manager,"Janie and Jack is looking for an inspired Assistant Store Manager to become an integral part of our team! The Assistant Store Manager is a champion of the business and leads confidently to drive exceptional results. You are looked to for expertise, direction, communication, and feedback to help the team achieve their goals. You are obsessive about creating a store environment focused on our customer and provide an engaging and convenient shopping experience for everyone.What you will do:Supports General Manager in managing the day-to-day operations of the store to ensure the store meets KPI’s.Cooperates with General Manager to develop clear action plans for store and thrives to achieve objectives, deliverables, and timelines of plan. A result driven role model for the team in sales generation and leads with exceptional customer focus, monitoring and coaching staff to continually improve selling opportunities and build genuine customer relationships.Creates and implements visual and merchandising strategies to increase sales; understands floor capacity and store layout.Utilizes tools and resources to enhance the customer experience.Thrives in change and uncertainty and generates ideas to evolve and grow the business.Motivates and inspires the team to achieve/exceed hourly, daily, weekly business goals through in-store and omni selling, using strong business acumen skills.Creates and maintains a positive and productive work environment that fosters diversity, inclusivity, teamwork, creativity, and a passion for the brand.Supports the General Manager on building a dynamic team by networking, recruiting, and anticipating future needs based on business objectives.Accountable for self and consistently holds others accountable.Operationally strong and resourceful.Responsible for identifying and assessing training needs, creating tailored training plans, and implementing various training methods to enhance employees’ skills and performance in partnership with the General Manager.Other duties as assigned.What You’ll Bring:2-4 years retail sales experience with management experience (preferred).Experienced leadership with demonstrated experience in meeting/exceeding sales and profits.Training skills to elevate the team’s product knowledge and selling skills.Experience implementing merchandising strategies and changing visual sets.Acts with authenticity, sincerity, and transparency.Available when needed, including nights, weekends, and holidaysin addition to our peak business periods such as the holiday season.Ability to constantly bend, open, lift, carry and move merchandise and fixtures up to 40 pounds as needed.Be at least 18 years old.Why You’ll Love Working with Us:The Product—so good, and you’re able to use your employee discount on all of it!The People—ask anyone who works here…we have incredible people on our team!The Experience—you’ll enjoy a rewarding career at a respected global children’s brand!The Benefits—a generous employee discount that you can use on all in-storemerchandise!Competitive Paid Time Off plan*Extensive 401(k) plan with company matching*Medical, dental, vision and life insurance*Employee Assistance Program with resources like financial and legal assistance, emotional work/life counseling, health, and wellness resourcesTuition reimbursementFUN work environment*For eligible employeesActual starting pay for this role is determined by a wide array of factors including but not limited to qualifications, experience, relevant skills, education, and geographic location. Employees are offered a variety of benefits to empower them with the resources and flexibility they need to enjoy success on the job and to live a healthy life. Full-time employees are eligible for medical insurance, dental insurance, vision insurance, health and dependent care FSA, life/ad&d insurance, short term and long-term disability, commuter benefits, pet benefits, tuition reimbursement, paid time off and 401(k) including matching. All employees are eligible for employee discounts and EAP Resources. Sales Leads, Assistant Managers, General Managers and District Managers are eligible for the quarterly bonus program.


Compensation details: 18.19-27.28 Hourly Wage","New York, NY",Full-time,https://www.linkedin.com/jobs/view/3905238493/?trk=jobs_biz_prem_srch,Entry level,"



PI0f4a49681e82-29463-34178188"
Rividium Inc,HR Specialist (Recruitment & Placement-DEU Certified) GS12,"
TITLE:  HR Specialist (Recruitment & Placement-DEU Certified) GS12
 
FULL-TIME/PART-TIME: Full-Time 
 
DESCRIPTION 

LocationVA Central Office (VACO)810 Vermont Avenue NWWashington, DC 20420Contact: Email:Keisha.Morris@va.govRansford.Jarrett-Coker@va.govSummary: This position is located Office of the Chief Human Capital Officer, Department of Veterans Affairs, Central Office (VACO) Human Resources Service Center (HRSC) that focuses on the establishment and transition of human capital services for VACO staff offices from the Veterans Health, Veterans Benefits, and National Cemetery Administrations. This position provides consultation and advisory assistance to the Program Manager of the HRSC as well as Staff Office customers in the areas of merit staffing, classification, position management, pay administration, selection and onboarding and technical review. The incumbent provides Human Resources operation support and management advisory services to VACO organizations.Duties:Major Duties Include:Experience as certified DEU consultant.Reviewing recruitment packages for completeness, filling out required forms, reviewing applicants, issuing certificate, auditing files, and processing Passovers of Veterans. Reviews recruitment and placement actions and provides advice on difficult issues. Takes appropriate action to correct any inefficient, inadequate, or invalid actions and methods.Provides expert program support of VACO HR programs by developing comprehensive solutions to a broad range of the most difficult operational issues handled by the division. Evaluates staffing and recruitment programs to assess if they meet basic program goals and objectives. Provides recommendations that meet immediate as well as long-term needs.Provides advice and guidance to VACO managers regarding internal/external placement, including carrying out special placement activities and providing interpretation and assistance.Reviews and interprets draft regulations, standards, or other guides for impact on the recruitment program. Determines the degree of compliance with regulations and other employment program requirements.Research cases prepares/provides detailed documentation and/or responses for resolution of formal grievances/complaints on qualifications ratings or related merit actions (other than non-selection).Identifies problems and conflicts with current or acceptable policies and procedures. Reviews new or proposed HR policies, procedures and guidelines and makes recommendations to management on the need for changes in existing policies.Establishes and maintains a cooperative working relationship with managers. Meets with managers to develop adequate and accurate vacancy announcements and recruitment strategies.Requirements:Conditions of Employment:You must be a U.S. Citizen to apply for this job.Selective Service Registration is required for males born after 12/31/1959.Subject to background/security investigation.Selected applicants will be required to complete an online onboarding process.You may be required to serve a probationary period.QualificationsTo qualify for this position, applicants must meet all requirements by the closing date of this announcement. 
 
ABOUT THE ORGANIZATION 

Established in 2008, RiVidium, Inc. (dba TripleCyber) is a VA-Verified SDVOSB and an SBA-Certified 8(a) company. To prepare our clients for the future, RiVidium has balanced all parts of our organization to attract the finest employees in order to 'Strive to be the missing element defining tomorrow's technology'. RiVidium keeps pace and surpasses its competitors by meeting challenges of advancements in Logistics, Human Capital, Cyber, Intelligence & Technology. 
 
EOE STATEMENT 

We are an equal employment opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability status, protected veteran status or any other characteristic protected by law. If you need a reasonable accommodation for any part of the employment process, please contact Human Resources (HR) at hr@rividium.com.","Pasco, Washington, United States",Full-time,https://www.linkedin.com/jobs/view/3905239404/?trk=jobs_biz_prem_srch,Entry level,"



PI3d1fcb6ce59f-29463-34240775"
A Hiring Company,TWIC Security Supervisor - Maritime Industry,"Are you an experienced Security Supervisor with a great attention to detail and a passion for watchfully protecting assets? Look no further than Danner's Inc.
We are on the lookout for a strong minded, but compassionate leader to assist our Director of Security in the management of our maritime security division. Responsibilities include scheduling, leading, and ensuring the security and safety of personnel and property. Conducting regular patrols to detect any irregularities is also essential. Candidates must be capable of maintaining order and enforcing site regulations and directives for both personnel and visitors.
This position will require in-office work as well as field work. The ideal candidate will have a flexible schedule as this role occasionally requires on-call work in addition to a set schedule. Generous overtime hours are anticipated.

Compensation details: 16-19 Hourly Wage","Pasadena, TX",Full-time,https://www.linkedin.com/jobs/view/3905239423/?trk=jobs_biz_prem_srch,Mid-Senior level,"BACKGROUND REQUIREMENTS:-Commissioned Security Guard License-Valid TWIC Card-Valid Driver's License-Must be at least 18 years of age.-Must have a high school diploma or GED.-Ability to communicate effectively both orally and in writing.-Knowledge of military time-Authorized to work in the United States.-Microsoft System experience (Including Outlook, Word and Excel)-Clean and Professional Appearance.-Must have active phone-Must have reliable transportation-On-call for additional hours to handle call offs, vacations, etc.
PHYSICAL REQUIREMENTS:- Full vision- Walking up stairways- Walking of distance- Standing for periods of time- Sitting for periods of time- Lifting, pushing and pulling 25+ lbs.
To complete an application in person, you may visit the office: 3551 Pasadena Blvd, Pasadena, TX 77503. Walk-ins are welcome Monday-Friday, from 9am - 4pm!
****Guaranteed interviews are by appointment only. Qualified candidates may contact HR by phone: 713-923-2651.***



PI0ad827b8660f-29463-34285522"
Janie and Jack,Assistant Store Manager,"Janie and Jack is looking for an inspired Assistant Store Manager to become an integral part of our team! The Assistant Store Manager is a champion of the business and leads confidently to drive exceptional results. You are looked to for expertise, direction, communication, and feedback to help the team achieve their goals. You are obsessive about creating a store environment focused on our customer and provide an engaging and convenient shopping experience for everyone.What you will do:Supports General Manager in managing the day-to-day operations of the store to ensure the store meets KPI’s.Cooperates with General Manager to develop clear action plans for store and thrives to achieve objectives, deliverables, and timelines of plan. A result driven role model for the team in sales generation and leads with exceptional customer focus, monitoring and coaching staff to continually improve selling opportunities and build genuine customer relationships.Creates and implements visual and merchandising strategies to increase sales; understands floor capacity and store layout.Utilizes tools and resources to enhance the customer experience.Thrives in change and uncertainty and generates ideas to evolve and grow the business.Motivates and inspires the team to achieve/exceed hourly, daily, weekly business goals through in-store and omni selling, using strong business acumen skills.Creates and maintains a positive and productive work environment that fosters diversity, inclusivity, teamwork, creativity, and a passion for the brand.Supports the General Manager on building a dynamic team by networking, recruiting, and anticipating future needs based on business objectives.Accountable for self and consistently holds others accountable.Operationally strong and resourceful.Responsible for identifying and assessing training needs, creating tailored training plans, and implementing various training methods to enhance employees’ skills and performance in partnership with the General Manager.Other duties as assigned.What You’ll Bring:2-4 years retail sales experience with management experience (preferred).Experienced leadership with demonstrated experience in meeting/exceeding sales and profits.Training skills to elevate the team’s product knowledge and selling skills.Experience implementing merchandising strategies and changing visual sets.Acts with authenticity, sincerity, and transparency.Available when needed, including nights, weekends, and holidaysin addition to our peak business periods such as the holiday season.Ability to constantly bend, open, lift, carry and move merchandise and fixtures up to 40 pounds as needed.Be at least 18 years old.Why You’ll Love Working with Us:The Product—so good, and you’re able to use your employee discount on all of it!The People—ask anyone who works here…we have incredible people on our team!The Experience—you’ll enjoy a rewarding career at a respected global children’s brand!The Benefits—a generous employee discount that you can use on all in-storemerchandise!Competitive Paid Time Off plan*Extensive 401(k) plan with company matching*Medical, dental, vision and life insurance*Employee Assistance Program with resources like financial and legal assistance, emotional work/life counseling, health, and wellness resourcesTuition reimbursementFUN work environment*For eligible employeesActual starting pay for this role is determined by a wide array of factors including but not limited to qualifications, experience, relevant skills, education, and geographic location. Employees are offered a variety of benefits to empower them with the resources and flexibility they need to enjoy success on the job and to live a healthy life. Full-time employees are eligible for medical insurance, dental insurance, vision insurance, health and dependent care FSA, life/ad&d insurance, short term and long-term disability, commuter benefits, pet benefits, tuition reimbursement, paid time off and 401(k) including matching. All employees are eligible for employee discounts and EAP Resources. Sales Leads, Assistant Managers, General Managers and District Managers are eligible for the quarterly bonus program.


Compensation details: 16-24 Hourly Wage","Deer Park, NY",Full-time,https://www.linkedin.com/jobs/view/3905239426/?trk=jobs_biz_prem_srch,Entry level,"



PI0defbf280499-29463-34284742"
Ressler Motors,Automotive Technician,"Description:Hiring for ALL BRANDS! Domestic and Imports!
Ressler Motors, Gallatin Import Group, and Gallatin Motors sell and service all major brands and manufactures. 
Ressler Motors is the largest volume dealership in the state of Montana, providing countless drivers in Butte, Helena, Billings, Livingston, Manhattan, and beyond. Ressler Motors is happy to serve many Montana communities with top-notch vehicles and quality automotive services, and we make a point to go above and beyond to show our commitment to the people we serve. 
If you're ready to work with a dealership that has your best interests at heart, then come to Ressler Motors.
$20-$40 plus BENEFITS and opportunities for growth!
Sign on bonus and moving expense reimbursement available.
 The Automotive Technician is responsible for performing the requested services including general mechanical repairs while maintaining the highest level of customer service and satisfaction. ESSENTIAL DUTIES:• Communicate with the Service Advisor to determine the scope of work requested, and acknowledge customers who are waiting. • Perform the 21-point vehicle maintenance inspection report thoroughly. Advise Service Advisor if services are recommended or if repairs are needed.• Perform work as outlined on repair order with efficiency and accuracy in accordance with dealership and factory standards.• Advise Service Consultant immediately if additional work is needed, if work outlined is not needed, or if repairs cannot be completed within the time promised.• Perform engine, power steering, coolant, transmission, and brake flushes.• Perform oil changes and lubrication work and check all filters. • Perform diagnostics to determine what repairs are necessary • Inspect all fluid levels of vehicle including, but not limited to: power steering, windshield washer, transmission, transaxle, engine oil, coolant, brake, clutch, t-case, front and rear differentials, and any fluids depending on vehicle type. • Rotate tires and check and adjust tire pressure as recommended by manufacturers, properly torque lug nuts with torque wrench or torque sticks and change tires using all safety precautions and protocols. • Ensure that customer's vehicle is delivered.• Operates and maintains all lubrication equipment.• Ensure all equipment is in proper working order, especially the lifts.• Document all service and installation actions performed by completing forms, reports, logs, and records. All complaint, cause, and correction must properly and informatively completed on all repair orders. Follow all proper published time guides. • Updates job knowledge by participating in training and education opportunities.Requirements:Valid Drivers LicenseAutomotive Technician experience required.","Bozeman, MT",Full-time,https://www.linkedin.com/jobs/view/3905240466/?trk=jobs_biz_prem_srch,Entry level,"



PI1fb14de2aad6-29463-27659842"
Rapid Response Monitoring,Customer Service Representative - $20/hr (Shift Differentials + Hiring Bonus),"* 2ND SHIFT, 3RD SHIFT & WEEKEND PAY RATE DIFFERENTIALS! *
Rapid Response acknowledges the sacrifices our employees make when supporting our customers during all hours of the day, overnight, and weekends. In recognition of that commitment, we are offering shift differentials for hours worked outside of standard business hours.

 For hours worked between Monday – Friday 6:01am 4:59pm, $20/hr (base pay rate)
 For hours worked between 5:00pm and 9:00pm, +$0.50/hr.
 For hours worked between 9:01pm and 6:00am (Overnight), +$1.00/hr
 For hours worked Saturday & Sunday between midnight and 11:59pm, +$1.00/hr

Role Summary
In our line of work, customer service means so much more as we are the voice of reassurance on the other line. While our call center never closes and CSR's work rotating holidays and weekends, you'll maintain a steady work schedule.
Rapid's presence in the industry is growing as we continue to shape and define what alarm monitoring means. Using the most modern technology in our monitoring center, our team protects life and property in countless communities by responding to alarm activations, immediately contacting customers and providing necessary assistance; including confirming a false alarm and dispatching first responders in the case of a true emergency. As an essential member of our team, you will also provide excellent customer service over the phone to ensure the satisfactory resolution of any questions or concerns regarding customers' alarm systems.
No prior industry experience is necessary! We pride ourselves in our training and provide fully paid, extensive 4-week instruction in our state-of-the-art classroom training environment.
Location
On site in Syracuse, NY.
Start dates Available
Start your 4-week training on one of the dates below:

 May 6, 2024 (8:00am - 4:30pm)
 June 3, 2024 (8:00am - 4:30pm)

Responsibilities

 Successfully complete all required training and follow company protocols and procedures
 Processes inbound/outbound calls from customers and authority agencies in a call center setting
 Provides detail-oriented customer service and empathetic support to our customers with a sense of urgency
 Responds to, verifies, and dispatches on emergency signals
 Handles security alarm activations for residences and businesses in a professional manner
 Multitask and remain calm in various emergency situations

Qualifications

 Associate degree, equivalent Military, or 2+ years of relevant work experience in customer service
 Proficient computer, written, and verbal skills
 Successful post-offer drug screen

COVID-19 Requirements

 Must be vaccinated: 2 doses of Pfizer/Moderna or 1 dose of Johnson & Johnson, completed at least 2 weeks prior to start date

Available Positions

 Full-Time: We pay a $500 hiring bonus to all new Customer Service Representatives (CSR) after 6 months of employment!
 Part-Time: We pay a $250 hiring bonus to all new Customer Service Representatives (CSR) after 6 months of employment!
 Overnight: We pay a $500 or $250 hiring bonus to all new Customer Service Representatives (CSR) after 6 months of employment; shift differential offered for overnight.
 Spanish Bilingual: In addition to the hiring bonus, we pay all new Spanish Bilingual Customer Service Representatives (CSR) a base pay rate of $21/hr. Afternoon and overnight shift differentials also apply.

What awaits you at Rapid Response

 Annual salary increases and performance bonuses
 Medical, Dental, Vision, and 401k
 Additional compensation for special skills, particularly: bilingual in Spanish
 Paid Vacation and Sick Time
 Internal advancement opportunities
 Wellness Program + Wellness DAYS OFF

About Rapid Response
Rapid Response Monitoring is a national leader in the monitoring of alarms and security systems. Designated as an Essential Business by the Department of Homeland Security, we are dedicated to protecting life and property. Founded and headquartered in Syracuse since 1992, with offices in California and Nevada. Our growing organization serves as a critical response center focused on protecting life, residences, and businesses. Whether it's a kitchen fire, an intruder at a business, a family member experiencing a medical emergency, or preventative non-emergency customer service conversations, our heroes are here to serve every day - 24/7, 365 days a year. Supported by teams of experts in their respective fields, our highly trained specialists are the monitoring backbone for thousands of alarm companies across the country. If you are in search of a unique, rewarding career opportunity in an industry like no other, join #TeamRapid!
Located in Franklin Square, Rapid Response prides itself as a newly remodeled state-of-the-art facility containing ultra-modern technology. From touch-free entrances and continual sanitization to iPad break rooms and comfortable lounge areas, our employees enjoy a pristine and contemporary work environment.
Additional Information
Rapid Response offers a competitive compensation and benefits package and dynamic and professional work environments. We also offer continued growth through our internal advancement opportunities. For more information, view our website at https://www.rrms.com/careers/. Rapid Response is an Equal Opportunity Employer.
 
CSD1

INDRR3","Syracuse, NY",Full-time,https://www.linkedin.com/jobs/view/3905241042/?trk=jobs_biz_prem_srch,Mid-Senior level,"



PI047aa4d319b4-29463-34258415"
Hope,"Marketing & Community Engagement Specialist -FT- St. Louis, MO","Marketing & Community Engagement Specialist

Job Summary: The Marketing and Community Engagement Specialist will be responsible for positioning Hope as a leading provider in the community where they are based. This position will function as an extension of Hope’s Communication and Development team and will work closely with the Springfield, IL team to increase donor engagement and direct fundraising in their community. Additionally, the Marketing and Community Engagement Specialist will execute marketing initiatives in support of the overall communications strategy, marketing plan, development strategy, operational goals, and strategic goals. The Marketing and Community Engagement Specialist will drive awareness and engagement across all platforms, while exploring and validating new ways to engage with the community, families of potential clients and potential donors. They will support and grow donor relations by executing donor strategy as set forth by the Springfield Development team. They will also implement a community engagement plan that will inform and educate the community about Hope as a whole. 
Essential FunctionsExecute the communications and marketing strategy as set forth by the Hope Communications Department. Implement consistent, high visibility messaging for Hope initiatives, programs, and events that drive awareness with key stakeholders.Implement a community outreach initiative to promote Hope in their location. Work with the Hope Communications and Marketing team to coordinate the design and production of external marketing literature, campaigns, and event propaganda.Collect information (salient stories, data, facts, figures, reports, photos) and transform that information into effective communication/marketing tools.Work the Hope’s Digital Marketing Manager to develop content for social media platforms that falls in line with the overall Marketing strategy for the year. Work with Hope’s Development Team to create and implement a plan for event promotion, Ambassador relations, and donor support.Work with Hope’s Development team to identify groups, businesses, service organizations, and individuals to target. Build effective relationships with supporters and community-based organizations to increase collaboration and lay groundwork for the Development Team.Foster involvement with local organizations and chambers while actively seeking outreach opportunities in the area.Build lasting relationships with local referral sources in order to engage, educate, and promote the message of inclusion.Develop and establish a key targeted community outreach/engagement plan to raise awareness about Hope. Other duties as assigned.  Minimum Qualifications:2-3 years of related experience in fundraising, community relations, auditing, event planning, marketing, or communications. Successful background clearance.Bachelor’s degree in communications, public relations, or related field. 
 Benefits for Full-Time Employees: Health Insurance Dental Insurance Vision Insurance Flexible Spending Account (Health and Dependent) Health Savings Account Health Reimbursement Arrangement Life Insurance 401(k) Retirement Plan Paid Time Off Holidays Employee and Dependent Tuition Reimbursement Assistance  At Hope, we strive for a diverse, equitable, and inclusive environment for our employees and clients in the autism and intellectual/developmental disability communities. Equal employment opportunity is our commitment, irrespective of age, disability, origin, race, religion, pregnancy, gender, or military status. This extends to all employment decisions, including recruitment, training, compensation, promotions, and terminations. Our support includes training and career development for all employees. In client services, we prioritize equity by tailoring interventions to individual needs, considering cultural and socioeconomic backgrounds. Through ongoing dialogue, we create a culture of inclusivity, respect, and empowerment for individuals and their families.   

Compensation details: 43000-50000 Yearly Salary","St Louis, MO",Full-time,https://www.linkedin.com/jobs/view/3905241056/?trk=jobs_biz_prem_srch,Entry level,"



PIad3b85fb25a9-29463-34285485"
TrueCare,Bilingual Mobile Receptionist Float - #,"Do you love to drive and pride yourself on your excellent driving record? Have you always wanted to have a career in the healthcare field? Are you bilingual and looking for an opportunity to help your local community?Submit your application now to be considered for a position at TrueCare as a Mobile Receptionist/ Driver for our Mobile Medical & Dental Teams! TrueCare was established in 1971 with a mission of providing comprehensive, high quality health care to everyone, regardless of their ability to pay. The Perks:We will train you to run a medical front office and how to drive and operate our “state of the art” mobile clinic!Some Key Duties Include:Perform a pre-trip inspection check list and drive the mobile unit to all scheduled eventsMaintain vehicle cleanliness, including waste removal coordination and washingArrange for maintenance and fueling of mobile unitMaintain contact with site supervisors and update them about any changes in schedule.Ensure all necessary paperwork including FACT sheets, GFE and patient registration is complete and accurate for all patients.Adhere to all HIPAA guidelinesScreen patients and obtain proof of income according to TrueCare protocolCheck in patients and verify patient information and payment sourceAccept payments and follow accounting proceduresAnswer incoming calls, address inquiries, take detailed messages and call out to confirm patient appointmentsFloat to clinics in need when mobile unit is not in serviceMust Haves:High school diploma or equivalentSafe driving and on time operation of the mobile unitMinimum 2 years of administrative/clerical experienceFamiliarity with medical and/or dental terminologyKnowledge of professional and ethical standards of health care deliveryComputer proficiency, particularly with the Microsoft Office suite, including Outlook and Word, and with electronic health record data entryBilingual in English and SpanishValid California Class C Driver’s LicenseNice To Haves:Associate’s degree in business/office administration, healthcare administration or related field. Medical and/or dental receptionist office experience.Experience working in a community health clinic setting.The Benefits:Competitive CompensationLow-cost health, dental, vision & life insurance3 weeks PTO, 10 Paid HolidaysTuition Reimbursement, Employee Assistance programPlease submit your updated resume for IMMEDIATE consideration. We can't wait to hear from you!Employment is contingent upon having an annual COVID-19 vaccination, or use of a mask from November 1st- March 31st of every year.TrueCare is committed to a policy of Equal Employment Opportunity and will not discriminate against an applicant or employee on the basis of race, color, religion, creed, national origin, ancestry, sex, gender, age, physical or mental disability, veteran or military status, genetic information, sexual orientation, gender identity, gender expression, marital status, or any other characteristic protected by applicable federal, state, or local law. Our goal is to promote and ensure authentic inclusion, belonging and support for all team members recruited or employed here.Visit truecare.org to learn more! Health Inside. Welcome in! Salud Adentro. Bienvenido!In the spirit of pay transparency, we are excited to share the base salary range for this position. If you are hired at TrueCare, your final base salary (within the pay range), will be determined based on factors such as education, knowledge, skills, and experience. In addition to those factors, we believe in the importance of pay equity and consider the internal equity of our current team members when determining any final offer. Please keep in mind that the range mentioned above is the full base salary range for the role. Hiring at the maximum of the range would not be typical to allow for future and continued salary growth. We also offer generous benefits and retirement plans. 

Compensation details: 21.5-26.88 Hourly Wage","San Marcos, CA",Full-time,https://www.linkedin.com/jobs/view/3905241067/?trk=jobs_biz_prem_srch,Entry level,"



PIcd30a56dc9a7-29463-34285505"
Corcentric,Supplier Onboarding Specialist (Managed Services),"Corcentric is looking for a highly motivated and detail-oriented Supplier Onboarding Specialist to join our Managed Services team. As a Supplier Onboarding Specialist, you will join a collaborative team within an ambitious, entrepreneurial global organization, and play a crucial role in the onboarding process of new suppliers into our Corcentric Platform. You will work closely with both internal teams and external suppliers to ensure a seamless and efficient onboarding experience. This position reports to the VP, Managed Services.As a Supplier Onboarding Specialist, you will:Manage the end-to-end onboarding process for new suppliers, including reviewing and approving requests, ensuring data accuracy, and providing training and support to customers and suppliers.Produce reports to track the status of supplier onboarding requests and monitor compliance with service level agreements.Act as a point of contact for both suppliers and internal stakeholders, addressing any inquiries or issues related to the onboarding process.Support customer implementation projects by providing expertise and guidance on the onboarding process.Collaborate with the Managed Services and technology teams to identify opportunities for process improvement and automation.Create and maintain documentation of onboarding processes and procedures.Stay up-to-date with industry trends and best practices in supplier onboarding and procurement. If you are a self-starter who thrives in a fast-paced environment and enjoys collaborating with diverse teams, we would love to hear from you. Join Corcentric and be part of our mission to empower businesses with streamlined procurement processes.

Requirements

You'll need to have:2+ years of experience in supplier onboarding or related procurement roles.Strong knowledge of procurement best practices and supplier management.Experience with procurement systems and platforms.Excellent problem-solving and analytical skills.Ability to handle and prioritize multiple tasks and projects, managing multiple deadlines.Ability to work independently and in a team environment, Proficiency in Microsoft Office suite, including Teams, Word, Excel, and PowerPoint. Strong communication and interpersonal skills, with the ability to effectively engage with suppliers and cross-functional teams.Excellent organizational and multitasking abilities, with a keen attention to detail and accuracy.A customer-centric mindset and a passion for delivering exceptional service. (We want to make sure you're set up to succeed, and we view these as the critical skills you'll need to achieve great things at Corcentric!) It's great if you also have:A Bachelor's Degree in a relevant disciplineProfessional certifications in procurement or supply chain management   (Psst...Don't worry if you don't check all these boxes... we view this as helpful experience that can shorten ramp-up time!)If you have the qualifications and drive to succeed in this role, apply now and join our dynamic team at Corcentric!About Us Corcentric is a global provider of business spend management and revenue management software and services for mid-market and Fortune 1000 businesses. Corcentric delivers software, advisory services, and payments focused on reducing costs, optimizing working capital, and unlocking revenue.  We achieve success by exemplifying our core values in the way we work, communicate, and collaborate: Do the Right Thing Embrace + Drive Change Be Empowered Be Relentlessly Focused on the Customer  

Benefits

At Corcentric, we know that the hard work of our employees is what drives the success of our organization. We care about who you are and what you value, both inside and outside of work. Within our organization, you will have the opportunity to work with smart, collaborative team members and approachable leaders. Our down-to-earth, solutions-oriented culture means you'll have the opportunity to get hands-on with interesting work projects and be able to draw a short line from your contributions to business impacts. We prioritize professional development and encourage cross-functional promotional opportunities to enable you to reach your career goals. We have been in business for over 25 years and are thrilled to be actively growing and scaling our teams accordingly - it's an exciting environment and a great time to join. 
 We also recognize the importance of work-life balance and want to support your efforts to take care of your health and well-being and the health and well-being of those who depend upon you. In support of this, we are proud to offer a comprehensive benefits package to our full-time team members, including: Generous annual paid time off program that increases with tenure Nine paid holidays plus an annual personal holiday to recognize or celebrate an occasion that is important to you An annual paid day off to volunteer for causes that are near and dear to you Paid maternity, paternal/secondary caregiver, and adoptive parent leave Company-paid life and disability insurance  401k program with a company match Medical insurance plan options ranging from a traditional PPO to High Deductible Health Plan options that feature a company HSA contribution Dental plan - including orthodontia coverage Vision plan - including discount for LASIK surgery All medical, dental, and vision insurance plans are available from the first of the month following your start date - no extended waiting period to be eligible!  A no-cost Employee Assistance Program - 24/7 access to confidential counseling services and a wide range of additional support and professional services  Our roles require routine use of standard office equipment, such as computers, keyboards, printers, phones, and filing cabinets. You may need to type, reach, and lift office materials of a reasonable weight. Travel may also be required based on job responsibilities and business needs. Corcentric does not discriminate on the basis of race, sex, color, religion, age, national origin, marital status, disability, veteran status, genetic information, sexual orientation, gender identity or any other reason prohibited by law in provision of employment opportunities and benefits. ","Cherry Hill, NJ",Full-time,https://www.linkedin.com/jobs/view/3905241068/?trk=jobs_biz_prem_srch,Associate,Customer ServiceCustomer SupportManaged ServicesProcurementProcurement ServicesSuppliers
A Hiring Company,TWIC On-Call Crew Transportation Driver - Corpus Christi,"Danner's Inc., a leading Maritime Transportation and Security company is looking to add drivers to our team in Corpus Christi, TX. We are in search of experienced drivers who are customer service oriented, courteous, work well under pressure and can complete tasks in a detailed and safe manner.
If you meet the following requirements, please contact our office or drop by to complete an application of employment:
JOB DUTIES:
- Transport crew members safely to local destination- Maintain excellent customer service
- Accurately complete all required documentation to include customs documents
- Follow directions precisely and in accordance with each specific port requirements
- Ensure company vehicles are free of debris at all times
- Able to enjoy working odd hours and a variety of situations from day to day
- Ability to work overnight and on the weekends",Greater Corpus Christi Area,Full-time,https://www.linkedin.com/jobs/view/3905241074/?trk=jobs_biz_prem_srch,Entry level,"General Requirements:- Valid Texas driver's license- Transportation Worker Identification Credential (TWIC ) card a MUST
- Must have a flexible schedule in order to meet On-Call needs
- Must have a clean driving record
- Must be able to speak, read & write English
- Must pass a pre-employment background screening to include criminal background check, drug screen, and have a clean MVR
- 2 years of recent professional driving experience in the industry preferred--Must be 24 years of age, per insurance requirement.
PHYSICAL REQUIREMENTS:
- Walking up gangways and steep stairs
-Lifting/Carrying up to 50 lbs. without assistance
- Walking of distance
- Standing for longer periods of time
- Sitting for longer periods of time
- Driving vehicles - getting in and out of vehicles several times per day- Average / Good vision
Other physical demands may be required as needed.



PI61c8605049be-29463-34285512"
